fecha,zona,vel_km_h,vel_m_s,vel_mph,vel_nudos,racha_max_km_h,racha_max_m_s,racha_max_mph,racha_max_nudos,hora_racha,fecha_actualizacion
2015-01-01,acoruna,12.96,3.6,28.9907,25.1922,33.12,9.2,74.0873,64.3802,08:10:00,"2022-01-21 17:41:30"
2015-01-01,albacete,3.96,1.1,8.85827,7.69763,38.88,10.8,86.9721,75.5767,00:20:00,"2022-01-21 17:41:30"
2015-01-01,almeria,7.92,2.2,17.7165,15.3953,28.08,7.8,62.8132,54.5832,11:20:00,"2022-01-21 17:44:31"
2015-01-01,leon,3.96,1.1,8.85827,7.69763,23.04,6.4,51.539,44.7862,16:20:00,"2022-01-21 17:44:31"
2015-01-02,acoruna,2.16,0.6,4.83178,4.19871,28.08,7.8,62.8132,54.5832,04:00:00,"2022-01-21 17:41:30"
2015-01-02,albacete,24.84,6.9,55.5655,48.2851,63,17.5,140.927,122.462,09:50:00,"2022-01-21 17:41:30"
2015-01-02,almeria,9,2.5,20.1324,17.4946,37.08,10.3,82.9456,72.0778,13:50:00,"2022-01-21 17:44:31"
2015-01-02,leon,0,0,0,0,87.12,24.2,194.882,169.348,06:03:00,"2022-01-21 17:44:31"
2015-01-02,zaragoza,23.04,6.4,51.539,44.7862,69.84,19.4,156.228,135.758,14:50:00,"2022-01-21 17:44:31"
2015-01-03,acoruna,10.08,2.8,22.5483,19.594,39.96,11.1,89.388,77.6761,01:40:00,"2022-01-21 17:41:30"
2015-01-03,albacete,15.12,4.2,33.8225,29.391,34.92,9.7,78.1138,67.8791,17:30:00,"2022-01-21 17:41:30"
2015-01-03,almeria,5.04,1.4,11.2742,9.79698,24.12,6.7,53.9549,46.8856,20:30:00,"2022-01-21 17:44:31"
2015-01-03,zaragoza,12.96,3.6,28.9907,25.1922,39.96,11.1,89.388,77.6761,13:10:00,"2022-01-21 17:44:31"
2015-01-04,acoruna,18,5,40.2649,34.9892,48.96,13.6,109.52,95.1707,09:40:00,"2022-01-21 17:41:30"
2015-01-04,albacete,6.84,1.9,15.3006,13.2959,34.92,9.7,78.1138,67.8791,04:40:00,"2022-01-21 17:44:31"
2015-01-04,almeria,10.08,2.8,22.5483,19.594,38.16,10.6,85.3615,74.1772,11:10:00,"2022-01-21 17:44:31"
2015-01-04,leon,14.04,3.9,31.4066,27.2916,47.88,13.3,107.105,93.0714,01:50:00,"2022-01-21 17:44:31"
2015-01-04,zaragoza,9,2.5,20.1324,17.4946,34.92,9.7,78.1138,67.8791,15:50:00,"2022-01-21 17:44:31"
2015-01-05,acoruna,11.88,3.3,26.5748,23.0929,42.12,11.7,94.2198,81.8748,00:20:00,"2022-01-21 17:41:30"
2015-01-05,albacete,6.84,1.9,15.3006,13.2959,37.08,10.3,82.9456,72.0778,16:00:00,"2022-01-21 17:44:31"
2015-01-05,almeria,5.04,1.4,11.2742,9.79698,27,7.5,60.3973,52.4838,15:40:00,"2022-01-21 17:44:31"
2015-01-05,leon,15.12,4.2,33.8225,29.391,59.04,16.4,132.069,114.765,05:40:00,"2022-01-21 17:44:31"
2015-01-05,zaragoza,15.12,4.2,33.8225,29.391,46.08,12.8,103.078,89.5724,10:20:00,"2022-01-21 17:44:31"
2015-01-06,acoruna,5.04,1.4,11.2742,9.79698,23.04,6.4,51.539,44.7862,13:50:00,"2022-01-21 17:41:30"
2015-01-06,albacete,6.12,1.7,13.6901,11.8963,30.96,8.6,69.2555,60.1815,15:40:00,"2022-01-21 17:44:31"
2015-01-06,almeria,2.88,0.8,6.44238,5.59828,23.04,6.4,51.539,44.7862,10:20:00,"2022-01-21 17:44:31"
2015-01-06,zaragoza,6.12,1.7,13.6901,11.8963,33.84,9.4,75.6979,65.7798,15:20:00,"2022-01-21 17:44:31"
2015-01-07,acoruna,5.04,1.4,11.2742,9.79698,42.12,11.7,94.2198,81.8748,14:20:00,"2022-01-21 17:41:30"
2015-01-07,albacete,10.08,2.8,22.5483,19.594,37.08,10.3,82.9456,72.0778,14:20:00,"2022-01-21 17:44:31"
2015-01-07,almeria,11.88,3.3,26.5748,23.0929,38.16,10.6,85.3615,74.1772,11:20:00,"2022-01-21 17:44:31"
2015-01-07,leon,11.88,3.3,26.5748,23.0929,50.04,13.9,111.936,97.2701,15:30:00,"2022-01-21 17:44:31"
2015-01-07,zaragoza,15.12,4.2,33.8225,29.391,65.88,18.3,147.369,128.061,17:30:00,"2022-01-21 17:44:31"
2015-01-08,acoruna,9,2.5,20.1324,17.4946,39.96,11.1,89.388,77.6761,10:00:00,"2022-01-21 17:41:30"
